id,temp,umid,cluster
1,25.283,24.9238,1
2,23.9008,28.3068,1
3,24.1006,26.7236,1
4,23.4292,28.2864,1
6,23.9695,26.7073,1
7,23.6115,26.8674,0
8,25.6694,24.1669,1
9,26.477,24.4002,0
10,25.2841,26.3089,1
11,25.9825,25.3176,0
12,26.1864,23.8117,0
13,22.9439,29.4227,1
14,24.6961,26.5428,1
16,22.8175,30.1199,1
17,23.4217,28.2113,1
18,25.3467,25.7315,1
19,27.5347,23.1378,1
20,26.5789,25.1096,1
21,35.562,14.9578,1
22,33.1998,16.6119,1
23,31.6208,17.9086,1
24,34.2536,15.2646,1
25,34.294,16.3912,0
26,31.2404,19.5468,1
27,29.8802,19.9225,0
29,30.2825,19.3842,0
30,30.9457,19.2802,0
31,30.281,20.3724,0
32,30.9826,18.6226,1
33,27.6308,22.2359,1
34,23.5605,27.929,1
35,22.9472,30.8137,1
36,23.3106,30.5363,0
37,23.5264,30.984,0
38,25.7482,24.1385,1
39,24.283,27.6422,1
40,26.5549,23.277,1
41,27.5839,21.4387,1
42,27.6159,21.7102,0
43,26.6946,22.8314,0
44,22.2653,29.5888,1
45,24.4384,25.4385,1
46,23.4482,27.3195,1
47,20.8579,31.9313,1
48,20.2123,32.5108,0
49,19.8181,32.3542,0
50,19.277,34.2412,1
51,20.4323,31.7313,1
52,22.3179,29.9521,1
53,23.5552,27.6725,1
54,24.1672,26.3174,0
